dms_orig,dms_dest,distance
11,11,0.0
11,12,332.1
11,19,63.0
11,20,5536.4
11,41,2356.0
11,42,2340.2
11,49,2295.3
11,50,551.6
11,61,2754.6
11,62,3128.5
11,63,2792.3
11,64,3213.4
11,65,3012.2
11,69,2976.1
11,81,1757.2
11,89,1803.4
11,91,1543.4
11,92,1486.3
11,99,1574.1
11,101,1188.0
11,109,1173.8
11,111,1058.0
11,121,598.0
11,122,973.0
11,123,734.7
11,124,718.0
11,129,436.2
11,131,224.2
11,132,515.1
11,139,338.6
11,151,7036.3
11,159,6907.6
11,160,2690.9
11,171,925.9
11,172,654.0
11,179,748.3
11,181,871.3
11,182,687.2
11,183,857.6
11,189,686.6
11,190,1124.8
11,201,960.8
11,202,1060.9
11,209,1214.3
11,211,512.9
11,212,622.0
11,219,454.9
11,221,527.7
11,222,731.2
11,223,487.3
11,229,580.0
11,230,1988.7
11,241,1115.6
11,242,1056.5
11,249,1110.7
11,251,1675.4
11,259,1565.6
11,261,1054.2
11,262,1057.5
11,269,1304.7
11,271,1418.7
11,279,1582.4
11,280,288.0
11,291,925.6
11,292,670.5
11,299,736.8
11,300,2448.1
11,311,1215.7
11,319,1469.7
11,321,2687.1
11,329,2771.8
11,331,1707.8
11,339,1748.1
11,341,1339.0
11,342,1250.1
11,350,1794.0
11,361,1533.7
11,362,1242.3
11,363,1446.7
11,364,1334.5
11,369,1465.3
11,371,581.2
11,372,671.8
11,373,774.4
11,379,863.0
11,380,1934.0
11,391,677.1
11,392,988.7
11,393,802.0
11,394,759.1
11,399,885.7
11,401,1008.5
11,402,898.5
11,409,1039.2
11,411,3330.3
11,419,3121.0
11,421,1241.5
11,422,993.0
11,423,1304.4
11,429,1151.2
11,441,1613.7
11,451,625.8
11,452,428.1
11,459,568.2
11,460,1684.3
11,471,338.6
11,472,274.9
11,473,380.0
11,479,307.6
11,481,1094.9
11,482,803.4
11,483,1238.2
11,484,954.2
11,485,1781.1
11,486,933.9
11,487,1364.6
11,488,1215.5
11,489,1233.8
11,491,2423.5
11,499,2279.0
11,500,1689.7
11,511,946.5
11,512,1013.6
11,513,995.1
11,519,774.4
11,531,3345.6
11,532,3315.7
11,539,3194.2
11,540,792.7
11,551,1073.6
11,559,1288.7
11,560,2100.0
12,11,332.1
12,12,0.0
12,19,272.2
12,20,5742.3
12,41,2292.7
12,42,2258.3
12,49,2256.8
12,50,629.2
12,61,2713.8
12,62,3144.6
12,63,2731.6
12,64,3215.3
12,65,3003.5
12,69,2961.5
12,81,1830.7
12,89,1854.1
12,91,1841.9
12,92,1785.3
12,99,1869.7
12,101,1477.7
12,109,1454.9
12,111,1352.2
12,121,598.4
12,122,859.5
12,123,673.4
12,124,602.4
12,129,355.8
12,131,482.7
12,132,636.1
12,139,477.9
12,151,6971.8
12,159,6826.1
12,160,2788.2
12,171,1226.4
12,172,917.9
12,179,1030.0
12,181,1183.5
12,182,1010.0
12,183,1184.0
12,189,1007.3
12,190,1357.7
12,201,1118.5
12,202,1149.9
12,209,1312.1
12,211,841.8
12,212,953.9
12,219,786.3
12,221,305.3
12,222,515.9
12,223,194.2
12,229,420.5
12,230,2298.7
12,241,1411.5
12,242,1351.3
12,249,1391.2
12,251,1971.6
12,259,1870.0
12,261,1385.0
12,262,1377.5
12,269,1623.4
12,271,1673.7
12,279,1839.8
12,280,277.8
12,291,1102.5
12,292,909.5
12,299,933.5
12,300,2598.2
12,311,1397.9
12,319,1614.2
12,321,2688.2
12,329,2805.2
12,331,2012.5
12,339,2058.4
12,341,1635.9
12,342,1538.8
12,350,1752.7
12,361,1845.9
12,362,1569.9
12,363,1745.6
12,364,1659.8
12,369,1784.7
12,371,846.5
12,372,946.4
12,373,1030.6
12,379,1096.2
12,380,2146.7
12,391,1009.1
12,392,1320.0
